lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
35790,Palm Island,QLD,,,,0,1.2,40.4,2098,
35800,Paroo,QLD,Y,,,0,5.1,3.2,1679,
36070,Pormpuraaw,QLD,,,,0,2.9,52.2,611,
36150,Quilpie,QLD,,,,0,6,0.9,698,
36250,Redland,QLD,,,,5,23.1,7.3,159222,
36300,Richmond,QLD,,,,0,4.3,1.1,761,
36370,Rockhampton,QLD,,,Y,0,10,6.3,81968,
36510,Scenic Rim,QLD,,,,2,15,3.5,42984,
36580,Somerset,QLD,,,,0,13.5,5,25057,
36630,South Burnett,QLD,,,Y,0,9.7,3,32996,
36660,Southern Downs,QLD,,,Y,1,10.3,4.3,36290,
36720,Sunshine Coast,QLD,Y,,Y,6,20.7,6,342541,
36820,Tablelands,QLD,,,,0,13.2,5,26244,
36910,Toowoomba,QLD,Y,,Y,0,13.9,8.8,173204,
36950,Torres,QLD,,,,0,7.7,48.5,3421,
36960,Torres Strait Island,QLD,,,,0,3.3,86,4124,
37010,Townsville,QLD,Y,Established,,0,14,7.7,192768,
37300,Weipa,QLD,,,,0,9.9,9.2,4100,
37310,Western Downs,QLD,Y,,Y,0,7.9,4,33843,
37340,Whitsunday,QLD,,,,0,16.3,6.7,37152,
37400,Winton,QLD,,,,0,5.2,2,1129,
37550,Woorabinda,QLD,,,,0,1,3.1,1019,
37570,Wujal Wujal,QLD,,,,0,0.4,37.7,276,
37600,Yarrabah,QLD,,,,0,0.3,78.3,2505,
39499,No usual address (Qld),QLD,,,,0,19.8,7.9,14670,
39799,Migratory - Offshore - Shipping (Qld),QLD,,,,0,,,183,
40070,Adelaide,SA,Y,,,2,45.4,35.8,25026,
40120,Adelaide Hills,SA,,,,6,16.7,5.4,40879,
40150,Adelaide Plains,SA,,,,0,13.1,5.4,9835,
40220,Alexandrina,SA,,,,1,16.3,2.7,28730,
40250,Anangu Pitjantjatjara Yankunytjatjara,SA,,,,0,2.5,84.7,2333,
40310,Barossa,SA,,,,0,11.8,2.6,25066,
40430,Barunga West,SA,,,,0,8,1.4,2619,
40520,Berri Barmera,SA,,,,0,12.4,9.7,10484,
40700,Burnside,SA,,,,4,33,27.4,46030,
40910,Campbelltown (SA),SA,Y,,,0,36.4,35.7,54800,
41010,Ceduna,SA,,,,0,7.5,9,3505,
41060,Charles Sturt,SA,Y,,,0,28.3,26.7,121840,
41140,Clare and Gilbert Valleys,SA,,,,0,10.1,2.8,9187,
41190,Cleve,SA,,,,0,5.2,1,1742,
41330,Coober Pedy,SA,,,,0,26.4,22,1566,
41560,Copper Coast,SA,,,,0,9.5,2.3,15050,
41750,Elliston,SA,,,,0,6,1.3,1014,
41830,Flinders Ranges,SA,,,,0,7.6,4.4,1646,
41960,Franklin Harbour,SA,,,,0,6.9,1.4,1293,
42030,Gawler,SA,,,,0,17.1,4.6,24988,
42110,Goyder,SA,,,,0,10,2.2,4060,
42250,Grant,SA,,,,0,7.6,1.6,8636,
42600,Holdfast Bay,SA,,,,0,23.6,10.6,37543,
42750,Kangaroo Island,SA,,,,0,14.6,4,4894,
43080,Karoonda East Murray,SA,,,,0,6.7,2.5,1007,
43220,Kimba,SA,,,,0,4.4,1.7,1037,
43360,Kingston (SA),SA,,,,0,7.4,1.7,2326,
43650,Light,SA,,,,0,11.2,2.5,15792,
43710,Lower Eyre,SA,,,,0,6.5,1.9,5910,
43790,Loxton Waikerie,SA,,,,0,8.3,4.8,11666,
44000,Maralinga Tjarutja,SA,,,,0,5.2,76,96,
44060,Marion,SA,,,,0,29.1,20.7,94721,
44210,Mid Murray,SA,,,,0,11,1.8,9164,
44340,Mitcham,SA,,,,3,23.2,15,67617,
44550,Mount Barker,SA,,,,0,15.1,5,39217,
44620,Mount Gambier,SA,,,,0,11.4,6.6,26878,
44830,Mount Remarkable,SA,,,,0,8.2,1.7,2862,
45040,Murray Bridge,SA,Y,Established,,0,12.7,8,21644,
45090,Naracoorte Lucindale,SA,Y,,,0,15,10.4,8686,
45120,Northern Areas,SA,,,,0,6.5,2,4559,
45290,Norwood Payneham and St Peters,SA,,,,0,31.3,26.4,37487,
45340,Onkaparinga,SA,,,,4,21.2,7,175204,
45400,Orroroo Carrieton,SA,,,,0,5.7,1.9,874,
45540,Peterborough,SA,,,,0,9.3,1.3,1638,
45680,Playford,SA,Y,,,0,21.8,15,99190,
45890,Port Adelaide Enfield,SA,Y,Established,,0,35.9,35.2,132400,
46090,Port Augusta,SA,,,,0,8.5,6.7,13829,
46300,Port Lincoln,SA,,,,0,8.8,4.3,14404,
46450,Port Pirie,SA,,,,0,7.8,4.3,17282,
46510,Prospect,SA,Y,,,0,28.8,28.2,22272,
46670,Renmark Paringa,SA,,,,0,14.1,13.8,9783,
46860,Robe,SA,,,,0,9.5,3,1542,
46970,Roxby Downs,SA,,,,0,13.6,8.6,3976,
47140,Salisbury,SA,Y,Excelling,,0,34.1,32.2,145806,
47290,Southern Mallee,SA,,,,0,13.3,8.1,1979,
47490,Streaky Bay,SA,,,,0,5.3,1.5,2165,
47630,Tatiara,SA,Y,,,0,12.9,8.6,6891,
47700,Tea Tree Gully,SA,Y,,,0,24.8,14.9,101174,
47800,Coorong,SA,,,,5,8.7,3.7,5463,
47910,Tumby Bay,SA,,,,0,5.5,1.3,2817,
47980,Unley,SA,Y,Established,,1,25.5,19.3,38641,
48050,Victor Harbor,SA,,,,0,19.4,3.4,16139,
48130,Wakefield,SA,,,,0,10.4,3.9,6780,
48260,Walkerville,SA,,,,0,29.6,23.2,8023,
48340,Wattle Range,SA,,,,0,9.2,2.8,11888,
48410,West Torrens,SA,Y,,,0,31.7,30.8,61699,
48540,Whyalla,SA,,,,0,17.9,6.3,21244,
