name,type,address,postcode,state,lat,lon,precision
Community Refugee Integration and Settlement Pilot,crisp,,3102,VIC,-37.793805,145.05219,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3104,VIC,-37.793695,145.081714,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3105,VIC,-37.772477,145.084806,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3108,VIC,-37.786429,145.125797,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3109,VIC,-37.784786,145.161649,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3111,VIC,-37.794054,145.186334,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3113,VIC,-37.752123,145.204689,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3115,VIC,-37.736734,145.267586,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3116,VIC,-37.737629,145.313086,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3121,VIC,-37.823303,145.001788,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3122,VIC,-37.822725,145.030602,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3123,VIC,-37.829752,145.049415,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3124,VIC,-37.840867,145.068191,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3125,VIC,-37.851305,145.101,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3127,VIC,-37.825173,145.097236,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3128,VIC,-37.828866,145.122393,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3129,VIC,-37.806965,145.125084,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3130,VIC,-37.81805,145.149653,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3131,VIC,-37.817798,145.174489,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3132,VIC,-37.819222,145.196686,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3133,VIC,-37.848786,145.192303,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3134,VIC,-37.823058,145.257929,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3135,VIC,-37.819594,145.248209,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3136,VIC,-37.779876,145.282396,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3138,VIC,-37.78391,145.322794,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3142,VIC,-37.84411,145.017732,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3143,VIC,-37.858918,145.019393,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3145,VIC,-37.873557,145.049328,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3146,VIC,-37.857116,145.057833,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3147,VIC,-37.867864,145.092946,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3148,VIC,-37.882562,145.090149,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3149,VIC,-37.880748,145.128118,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3150,VIC,-37.914383,145.168834,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3152,VIC,-37.864951,145.221695,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3153,VIC,-37.845116,145.270141,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3161,VIC,-37.873733,145.019929,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3162,VIC,-37.892139,145.023394,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3163,VIC,-37.896497,145.057237,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3165,VIC,-37.922369,145.059426,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3166,VIC,-37.902805,145.089719,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3167,VIC,-37.923345,145.087614,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3169,VIC,-37.945149,145.115271,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3173,VIC,-38.006771,145.164863,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3174,VIC,-37.966218,145.17877,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3175,VIC,-38.016114,145.208504,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3181,VIC,-37.854683,144.995504,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3182,VIC,-37.865322,144.979478,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3183,VIC,-37.869072,144.999026,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3184,VIC,-37.881414,144.984034,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3186,VIC,-37.915066,144.996329,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3187,VIC,-37.925371,145.013593,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3188,VIC,-37.938889,145.007238,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3189,VIC,-37.942021,145.047802,postcode_centroid
