lga_name,lga_accreditation,overseas_born_pct,language_other_than_english_pct
Plantagenet,,19.2,6.3
Port Hedland,,20.6,14.4
Quairading,,9.5,2.2
Ravensthorpe,,19.1,6.1
Rockingham,,30.4,8
Sandstone,,15.6,4.6
Serpentine-Jarrahdale,,25.2,10.6
Shark Bay,,21.5,9.1
South Perth,,34.7,20.3
Stirling,,37.7,27.2
Subiaco,,35.3,17.4
Swan,,33.6,23
Tammin,,9.8,0.5
Three Springs,,13,3.3
Toodyay,,21.8,3.3
Trayning,,15.1,2.7
Upper Gascoyne,,7.1,14.1
Victoria Park,,37.6,24.1
Victoria Plains,,15.6,3.6
Vincent,,32.9,19.6
Wagin,,16.1,3.9
Wandering,,11.8,2.1
Wanneroo,,40.8,20.5
Waroona,,18,5.6
West Arthur,,9.6,0.8
Westonia,,13.7,4
Wickepin,,7.5,2.8
Williams,,10.8,3.2
Wiluna,,13.1,24.7
Wongan-Ballidu,,13,3.9
Woodanilling,,11.8,2.2
Wyalkatchem,,14.5,3.4
Wyndham-East Kimberley,,12.6,12
Yalgoo,,12.9,5
Yilgarn,,18.1,7.2
York,,17.8,3.2
No usual address (WA),,17.7,6
Migratory - Offshore - Shipping (WA),,28.8,11.9
Break O'Day,,13.1,3
Brighton,,6.3,3.2
Burnie,,10.1,4.5
Central Coast (Tas.),,9.5,2.4
Central Highlands (Tas.),,10.2,3.1
Circular Head,,10.4,4.2
Clarence,,14.2,8.3
Derwent Valley,,7.7,2.2
Devonport,,11.2,5.5
Dorset,,8.8,2.3
Flinders (Tas.),,10.4,3.5
George Town,,11.6,2.4
Glamorgan-Spring Bay,,14.7,6.4
Glenorchy,,21.6,18.6
Hobart,Established,28.6,20.5
Huon Valley,,14.9,4
Kentish,,12.1,4
King Island,,13.3,6
Kingborough,,21.2,10.7
Latrobe (Tas.),,10.2,3.4
Launceston,,16.2,10.7
Meander Valley,,11.8,4
Northern Midlands,,9.2,2.3
Sorell,,10.3,3.7
Southern Midlands,,5.9,1.2
Tasman,,12.8,2.8
Waratah-Wynyard,,9.9,2.2
West Coast,,11,3.9
West Tamar,,15.4,5.6
No usual address (Tas.),,11.8,5.2
Migratory - Offshore - Shipping (Tas.),,52.6,26.3
Alice Springs,,26.3,24
Barkly,,9.1,49.9
Belyuen,,0,77.2
Central Desert,,3.8,76.4
Coomalie,,13.6,6.3
Darwin,,34.2,30.3
Darwin Waterfront Precinct,,38.6,24.9
East Arnhem,,2,88.8
Katherine,,15.2,18
Litchfield,,13.1,6
MacDonnell,,3,68.9
Palmerston,,22.2,17.6
Roper Gulf,,3.6,64.6
Tiwi Islands,,2.4,82.2
Victoria Daly,,4.5,55
Wagait,,18.4,7.6
West Arnhem,,4.2,77.4
West Daly,,1.8,84.3
Unincorporated NT,,18.2,13.8
No usual address (NT),,14,14.6
Migratory - Offshore - Shipping (NT),,22.2,12.1
Unincorporated ACT,Advanced,28.8,24.3
No usual address (ACT),,18.3,12.4
